T,s,KL
1400,49,0.005421030369872136
1500,0,0.012716695693279476
1500,1,0.002012171551736418
1500,2,0.0006392814008839012
1500,3,0.009944357248158682
1500,4,-0.015180269188426146
1500,5,-0.01352303493475131
1500,6,-0.003836603157503937
1500,7,-0.005538136241154696
1500,8,-0.0063377250659668125
1500,9,-0.010542439912838953
1500,10,0.004294617923562693
1500,11,-0.03136342589491232
1500,12,-0.0011393151052540612
1500,13,0.009380353938815459
1500,14,0.008248722995584492
1500,15,0.00909847561491834
1500,16,-0.0026477548186708425
1500,17,-0.009205834142629694
1500,18,0.007814230384866004
1500,19,-0.018013453433146368
1500,20,0.041840443579239786
1500,21,-0.007255945344484135
1500,22,0.011312536180423344
1500,23,0.024684561408954732
1500,24,0.015388147784937963
1500,25,0.007248954419990921
1500,26,-0.005666218322883943
1500,27,-0.016757652414874834
1500,28,0.02334320924569719
1500,29,-0.006959412950429021
1500,30,0.021387534918710253
1500,31,0.002067430553139232
1500,32,0.02692942763469958
1500,33,-0.010634392980620008
1500,34,0.004252922690818122
1500,35,0.013111926034721912
1500,36,-0.0136052525823959
1500,37,0.01653541291098249
1500,38,0.005415197731336346
1500,39,0.004876842419011149
1500,40,0.008588630575258847
1500,41,0.01356596896086774
1500,42,0.011634727011724478
1500,43,-0.014263405920605871
1500,44,0.008496436812602969
1500,45,-0.006974400300999953
1500,46,-0.013734993215287544
1500,47,0.017680561316431535
1500,48,0.009821016920565733
1500,49,-0.011670156499120466
1600,0,-0.004279185668622423
1600,1,0.008245091078926636
1600,2,-0.0037686339070332818
1600,3,-0.028857923547754016
1600,4,-0.02062815493028704
1600,5,0.006625768687635949
1600,6,0.008500094126647244
1600,7,0.018750586408133152
1600,8,0.0025283200979458174
1600,9,-0.01550346292225963
1600,10,0.006915022516972574
1600,11,-0.006469970748781063
1600,12,0.0022928911413480635
1600,13,-0.002016181130029319
1600,14,-0.009050433222610559
1600,15,-0.006482835981665212
1600,16,0.00548365782030946
1600,17,-0.03228946252877141
1600,18,-0.009180737142496122
1600,19,-0.003194784702343814
1600,20,-0.006929002003841146
1600,21,0.002217946399358811
1600,22,-0.0043668157910093375
1600,23,-0.004038589640348844
1600,24,0.012866162531076794
1600,25,-0.006376302944707141
1600,26,-0.005648901646226573
1600,27,-0.018623056746005336
1600,28,0.010681301219872735
1600,29,0.0024516928128442946
1600,30,-0.003652372891624243
1600,31,-0.0009144430689957783
1600,32,0.006806164500252747
1600,33,0.02690099831569674
1600,34,-0.012425409929586267
1600,35,0.020372435002816054
1600,36,-0.02002173601798163
1600,37,0.019718757905430092
1600,38,-0.012205736293233634
1600,39,0.007692872388762224
1600,40,-0.008013151214922918
1600,41,-0.008816938844326563
1600,42,0.005385284305609419
1600,43,0.02479752878721953
1600,44,0.0010664201637569874
1600,45,-0.008367216806865734
1600,46,0.0011469910032725814
1600,47,0.003787381030751341
1600,48,0.011586326841935704
1600,49,0.0029995783722753756
1700,0,0.0016165542867187994
1700,1,0.018875697314787068
1700,2,-0.02080912122872003
1700,3,0.011464513911289076
1700,4,-0.010635427686142035
1700,5,0.004802824244136328
1700,6,0.020225798074387416
1700,7,-0.02146804181526929
1700,8,0.015742391345050996
1700,9,-0.02330420744178011
1700,10,-0.015350394706534716
1700,11,-0.018531144889085933
1700,12,-0.0039003651651019493
1700,13,0.002650097751151591
1700,14,-0.012575921385617745
1700,15,-0.014383641885218752
1700,16,-0.02163381770188072
1700,17,0.01709006956986846
1700,18,-0.0014109944703594916
1700,19,0.012428064832079418
1700,20,0.011910641643828516
1700,21,-0.005707800733619019
1700,22,0.0013726700142506513
1700,23,0.01750802615610649
1700,24,0.013755020492304834
1700,25,0.005257012202977692
1700,26,-0.02292531629246512
1700,27,-0.011552510043344752
1700,28,-0.002335405332476759
1700,29,0.005890740314814199
1700,30,-0.007844016585376442
1700,31,-0.004388395359452495
1700,32,0.011162960811190193
1700,33,-0.009191334078296781
1700,34,-0.004210467451992005
1700,35,-0.013102021660042049
1700,36,0.019482189380385918
1700,37,0.010830670017124365
1700,38,-0.001126401857611071
1700,39,0.014886811218522174
1700,40,0.025560720872837613
1700,41,0.002307750686383386
1700,42,0.007663282437288657
1700,43,0.0027621559570505795
1700,44,0.0041608063088319795
1700,45,0.004411902107712627
1700,46,0.0015137373168107313
1700,47,-0.01291037564534646
1700,48,0.02261887535736108
1700,49,-0.0012575618463399813
1800,0,0.008282229537842243
1800,1,0.003315555186314946
1800,2,0.0024501669075629815
1800,3,0.007257277569118169
1800,4,-0.007518083202235465
1800,5,-0.006405070131433769
1800,6,0.02144940871133233
1800,7,-0.0072181752634482114
1800,8,0.016753727130758206
1800,9,-0.0051251528517868355
1800,10,0.0004394363611444206
1800,11,-0.0004882239225472842
1800,12,-0.014052223681773298
1800,13,-0.005902658750466824
1800,14,0.0006647797460193809
1800,15,-0.011997720161171696
1800,16,0.0034608874802869224
1800,17,-0.018873384430456136
1800,18,0.030072772512751783
1800,19,-0.014400498768148865
1800,20,-0.00972868480292067
1800,21,0.0024766312359038494
1800,22,0.014123024923719635
1800,23,0.0005380548489334977
1800,24,0.01438518287210416
1800,25,0.0013290022058156355
1800,26,-0.005318729141816098
1800,27,-0.004994143969022862
1800,28,-0.007689987146110973
1800,29,-0.014930508925842838
1800,30,0.003805573828380515
1800,31,-0.017660685763170286
1800,32,-0.013853316134503697
1800,33,-0.019755010079508063
1800,34,0.016718242912820112
1800,35,-0.013844599970963016
1800,36,-0.014036334416867089
1800,37,-0.00490540464341042
1800,38,-0.005978236743055291
1800,39,-0.00787275952284063
1800,40,-0.013513049641139557
1800,41,0.009259129168347419
1800,42,0.019318796939404487
1800,43,0.0020859744468045664
1800,44,-0.00687206034356309
1800,45,0.010982173268602197
1800,46,0.019003800829949444
1800,47,0.008955666003831438
1800,48,-0.004990111728583032
1800,49,0.002634337321715623
1900,0,0.02318012682526785
1900,1,-0.0164471649160711
1900,2,0.0003069328879497439
1900,3,0.02242406133208039
1900,4,0.007333219697676067
1900,5,0.006468386973914362
1900,6,0.002280535112315355
1900,7,0.0070412007643038624
1900,8,0.0111799315033725
1900,9,0.014314312069576295
1900,10,-0.0035162597022123255
1900,11,-0.004538102317537437
1900,12,-0.004149278397402372
1900,13,0.021783573889267837
1900,14,0.01398320177183408
1900,15,0.004780719255598668
1900,16,-0.025465880562970385
1900,17,0.015310958614650745
1900,18,-0.004310455982093745
1900,19,-0.011012347270054781
1900,20,-0.008528566132581641
1900,21,0.015798641437196635
1900,22,-0.012948647780867942
1900,23,-0.005065381473603872
1900,24,0.018205603637287848
1900,25,-0.00024328239608398445
1900,26,-0.004725948338678335
1900,27,-0.002902875752577563
1900,28,0.019125288630929365
1900,29,0.010085194918806576
1900,30,0.0010509194840867468
1900,31,-0.027366021043867882
1900,32,-0.004139697498511043
1900,33,0.027239075642496693
1900,34,-0.001165251854040721
1900,35,-0.0055187484978602925
1900,36,-0.004623094666063158
1900,37,0.002175189049267764
1900,38,-0.0074010088803010505
1900,39,-0.013522678422881799
1900,40,0.020764177696965626
1900,41,-0.004785112610987369
1900,42,-0.01709329062112549
1900,43,0.008985354922103604
1900,44,0.021772197088085258
1900,45,-0.0010638711012167933
1900,46,-0.012283762579271364
1900,47,-0.02525071242155748
1900,48,-0.005238919803308591
1900,49,-0.01874691717717534
2000,0,-0.0005576110322320729
2000,1,0.02664113414425025
2000,2,0.004524478137562268
2000,3,-0.0031861132874151294
2000,4,-0.005596572530160251
2000,5,0.01117684830884506
2000,6,-0.004982817061071958
2000,7,-0.008521929540908293
2000,8,-0.015738796127676175
2000,9,0.015638339428898605
2000,10,0.001494634559928195
2000,11,-0.009048314358528134
2000,12,0.01866367369644283
2000,13,0.022287385758474755
2000,14,-0.011955921378410794
2000,15,-0.022926756533786313
2000,16,-0.00568014371078119
2000,17,0.010284143078401264
2000,18,-0.0011421487999448156
2000,19,0.0028810203601161025
2000,20,0.008563504472016894
2000,21,-0.001154257773459521
2000,22,-0.014088400133397466
2000,23,0.002054133857192412
2000,24,0.0016782106407065153
