T,s,MISE
600,24,0.0007796197517945103
600,25,0.003688008458257533
600,26,0.002066102946561562
600,27,0.0016874754016837446
600,28,0.0010836072577252906
600,29,0.0035976715814350206
600,30,0.0013487800848854825
600,31,0.0016807044138684604
600,32,0.0005989186495609306
600,33,0.002419011226322459
600,34,0.0015228576581645668
600,35,0.0060110151501725564
600,36,0.006789118652912824
600,37,0.0004111907969029092
600,38,0.0017399207443809545
600,39,0.0012836682761890865
600,40,0.0016807867595197662
600,41,0.0029724612034204346
600,42,0.002506839687997033
600,43,0.001501810702089228
600,44,0.002903070337795894
600,45,0.00770955579712322
600,46,0.002034152787427151
600,47,0.0029194270329516944
600,48,0.002720162675263041
600,49,0.0038104014042179128
650,0,0.0013828439513147593
650,1,0.001453217913949442
650,2,0.0012796060516526203
650,3,0.001224867612994717
650,4,0.001027781261078843
650,5,0.003086078915775183
650,6,0.0008182843000524297
650,7,0.0031698061331169327
650,8,0.0009305710723049012
650,9,0.002152678090522057
650,10,0.0013518910238623542
650,11,0.0011890141876967511
650,12,0.0008979860562834641
650,13,0.0010127340803012979
650,14,0.002151098762370413
650,15,0.0017503331920821034
650,16,0.001698869433837623
650,17,0.004156510525665867
650,18,0.0006242168137239543
650,19,0.0005026820812648438
650,20,0.002259538666966075
650,21,0.0029779931770014343
650,22,0.0016946422367019858
650,23,0.003043438500159129
650,24,0.00280492781073578
650,25,0.003971849209885154
650,26,0.005374789662500698
650,27,0.0027478979753501505
650,28,0.006818968432978768
650,29,0.0033689114922595934
650,30,0.003638600293080335
650,31,0.003466708650799256
650,32,0.002093767978443261
650,33,0.0026911929404333673
650,34,0.0025665078517191414
650,35,0.002526056620484419
650,36,0.000529966919606917
650,37,0.0009583386834542398
650,38,0.0024707793159391327
650,39,0.0022464332816264235
650,40,0.0015427264810928332
650,41,0.004089062286940153
650,42,0.0012935588659003998
650,43,0.0026379416213941818
650,44,0.0011864159367986813
650,45,0.0011944881776635875
650,46,0.002493448956344485
650,47,0.0037193536949396387
650,48,0.0031188399742778927
650,49,0.001801310461399152
700,0,0.0009095302493177103
700,1,0.0011029510661376687
700,2,0.0045854179210863405
700,3,0.0009787747626008013
700,4,0.001026325404492117
700,5,0.001579080214332721
700,6,0.0017293601871028884
700,7,0.0007929191986490447
700,8,0.0011384742080287923
700,9,0.0019250066921572295
700,10,0.0009146117512745083
700,11,0.0012633340185523264
700,12,0.002524576167741755
700,13,0.0050666764251513195
700,14,0.006790330642318238
700,15,0.0010062496885826354
700,16,0.0009887081309658237
700,17,0.000506779175259706
700,18,0.0011448821660594438
700,19,0.0038149834758978178
700,20,0.002793904488179792
700,21,0.000828777038923473
700,22,0.003915231481383533
700,23,0.002035102465014278
700,24,0.0015845660106131535
700,25,0.0012638277883922535
700,26,0.00218352341341377
700,27,0.0014646658100959402
700,28,0.0016689895558473782
700,29,0.0021588725679097744
700,30,0.0011922574123151136
700,31,0.0009332564458695426
700,32,0.0014897275033536584
700,33,0.0008943227165739865
700,34,0.0016975586850789166
700,35,0.0012343735237600156
700,36,0.0010501479604609614
700,37,0.002420918283723296
700,38,0.0016963990951284888
700,39,0.0026759881051565118
700,40,0.0009915280636361256
700,41,0.0019317558885178288
700,42,0.0014121087704716544
700,43,0.0005294641619293533
700,44,0.0010846613463175248
700,45,0.0011607017204335226
700,46,0.0044018393102929956
700,47,0.0016887820881596825
700,48,0.0029147974826927193
700,49,0.0011693524019004149
750,0,0.0029484570559986474
750,1,0.0021670914887442455
750,2,0.0027528653618095257
750,3,0.0017445668643102032
750,4,0.003425694154877257
750,5,0.0010122159166512865
750,6,0.0010086553321895127
750,7,0.002844675219817179
750,8,0.0013234606684215397
750,9,0.000979463854667336
750,10,0.0011997277155078596
750,11,0.0015470332036282247
750,12,0.0019560986094063156
750,13,0.002644785946335391
750,14,0.0007598952907659152
750,15,0.003248991051362568
750,16,0.0027918016548482737
750,17,0.0013350188931758155
750,18,0.0029697574358776907
750,19,0.0015228924167381601
750,20,0.0025731754998100246
750,21,0.0031293622642113664
750,22,0.0006876347755969196
750,23,0.0021199808445352287
750,24,0.0013579279584336984
750,25,0.0027429660714677353
750,26,0.0007153757736771261
750,27,0.0008375351203023608
750,28,0.001998902308770224
750,29,0.007729859222483707
750,30,0.0034639013538222685
750,31,0.0010896674891994296
750,32,0.0009603248823799948
750,33,0.001900176221107862
750,34,0.0035944368583158922
750,35,0.0017735055893999896
750,36,0.0008370950741068275
750,37,0.00287653907805493
750,38,0.000983991619612411
750,39,0.006217039975291598
750,40,0.005934191978922433
750,41,0.0016292104749863901
750,42,0.0020311442992257942
750,43,0.0008894885636246753
750,44,0.0009840960774674405
750,45,0.0017385640758112275
750,46,0.004409349988925671
750,47,0.0017788239588293103
750,48,0.000710449433128313
750,49,0.0009351410106512309
800,0,0.0005323684115414687
800,1,0.005904731836051131
800,2,0.002090668169515384
800,3,0.00208737819014599
800,4,0.0017211067929497356
