T,s,SquareDiff
1600,3,3.4560520176281926e-05
1600,4,2.082821839011749e-06
1600,5,5.063394999924579e-05
1600,6,6.207079837083952e-07
1600,7,7.304310725314114e-06
1600,8,2.807311268800032e-06
1600,9,3.234791525946376e-06
1600,10,6.207079837083952e-07
1600,11,4.5981881170308695e-06
1600,12,6.479492219781171e-06
1600,13,9.093279621097553e-06
1600,14,2.394127512072623e-06
1600,15,3.4560520176281926e-05
1600,16,2.017858126680897e-05
1600,17,1.0457328574841626e-05
1600,18,2.8277470568040325e-05
1600,19,6.479492219781171e-06
1600,20,4.703515870479229e-06
1600,21,4.566693044088596e-06
1600,22,7.078407185771131e-07
1600,23,3.0017811451297812e-05
1600,24,1.891935194270842e-06
1600,25,7.6103227780388145e-06
1600,26,3.6383888674775044e-06
1600,27,8.426230286563983e-06
1600,28,6.479492219781171e-06
1600,29,1.4370825421401613e-06
1600,30,6.479492219781171e-06
1600,31,6.479492219781171e-06
1600,32,9.47242741571003e-06
1600,33,4.8062592791373695e-06
1600,34,1.5411452764708117e-06
1600,35,1.1928854497748624e-05
1600,36,6.479492219781171e-06
1600,37,6.479492219781171e-06
1600,38,1.1352790098180563e-05
1600,39,1.1189974916046599e-06
1600,40,1.2216261119063424e-06
1600,41,2.6057687929821813e-06
1600,42,6.207079837083952e-07
1600,43,6.479492219781171e-06
1600,44,4.2711135919535485e-06
1600,45,9.156457924798543e-06
1600,46,8.502429463055226e-06
1600,47,2.653465692647656e-05
1600,48,6.479492219781171e-06
1600,49,4.8570846800913304e-06
1700,0,5.2763963879762535e-06
1700,1,6.479492219781171e-06
1700,2,3.7020108429446434e-06
1700,3,2.2396815692143682e-06
1700,4,1.735933380534641e-06
1700,5,7.529282401744216e-07
1700,6,6.479492219781171e-06
1700,7,6.27418201353104e-06
1700,8,3.6230300995436095e-06
1700,9,9.583665572049436e-06
1700,10,6.479492219781171e-06
1700,11,6.207079837083952e-07
1700,12,6.479492219781171e-06
1700,13,6.479492219781171e-06
1700,14,1.076921145579338e-05
1700,15,6.284242100506402e-06
1700,16,2.8674942178062913e-06
1700,17,6.479492219781171e-06
1700,18,4.998679683430519e-06
1700,19,7.719721542601087e-07
1700,20,6.479492219781171e-06
1700,21,3.4560520176281926e-05
1700,22,6.479492219781171e-06
1700,23,3.570409587670805e-06
1700,24,3.418769652820263e-06
1700,25,5.839093796669962e-06
1700,26,4.854931254091999e-06
1700,27,8.48637919311154e-05
1700,28,6.978363108509346e-07
1700,29,1.7975148329515047e-06
1700,30,1.0406435083482312e-05
1700,31,6.479492219781171e-06
1700,32,8.811231260833162e-06
1700,33,3.3605370691075113e-06
1700,34,9.80595864851548e-07
1700,35,5.655800052925202e-06
1700,36,6.936866466789541e-06
1700,37,4.0974588606892015e-06
1700,38,2.134238743859086e-05
1700,39,6.479492219781171e-06
1700,40,6.479492219781171e-06
1700,41,8.429664056850582e-07
1700,42,2.375181959955447e-06
1700,43,4.33230536160854e-06
1700,44,1.0590406593981913e-05
1700,45,9.126693416223862e-07
1700,46,4.173917619672987e-06
1700,47,3.4560520176281926e-05
1700,48,1.8608629717062634e-06
1700,49,6.479492219781171e-06
1800,0,6.479492219781171e-06
1800,1,2.181316010700362e-06
1800,2,3.466669972208089e-06
1800,3,4.4091817543777375e-06
1800,4,2.3553454022660725e-05
1800,5,2.082562781018051e-06
1800,6,6.207079837083952e-07
1800,7,2.84825876689191e-06
1800,8,3.932190412517162e-05
1800,9,2.1044210540875676e-06
1800,10,2.508509153357494e-05
1800,11,1.6655094940329603e-06
1800,12,2.138943967082676e-05
1800,13,6.479492219781171e-06
1800,14,6.479492219781171e-06
1800,15,2.7600674094126155e-06
1800,16,6.479492219781171e-06
1800,17,3.4560520176281926e-05
1800,18,1.9029663298211677e-06
1800,19,6.479492219781171e-06
1800,20,3.4085250667861894e-06
1800,21,6.207079837083952e-07
1800,22,5.960097247863127e-06
1800,23,4.5258487051763174e-06
1800,24,3.03156851144808e-06
1800,25,5.682567985843473e-06
1800,26,4.206664580378841e-06
1800,27,6.479492219781171e-06
