T,simNr,kernel,bandwidth,a,M1,S_T,data_reward,optimal_reward,regret
1400,2,gau,1/sqrt(T),1e-06,1e-06,130.3900000000264,235.10078585304532,256.60194948859174,21.50116363554642
1400,3,gau,1/sqrt(T),1e-06,1e-06,131.32000000002554,221.59163022822594,246.95810584868497,25.366475620459028
1400,4,gau,1/sqrt(T),1e-06,1e-06,130.0400000000267,205.31136768419077,241.68098345941144,36.369615775220666
1400,5,gau,1/sqrt(T),1e-06,1e-06,131.3700000000255,204.92375474194387,228.5702419742617,23.64648723231784
1400,6,gau,1/sqrt(T),1e-06,1e-06,130.7100000000261,226.20458828915662,265.4932890159353,39.2887007267787
1400,7,gau,1/sqrt(T),1e-06,1e-06,145.36000000001277,206.4581528981236,237.03007984615138,30.571926948027794
1400,8,gau,1/sqrt(T),1e-06,1e-06,132.74000000002425,183.1563400677663,206.1773886217604,23.021048553994092
1400,9,gau,1/sqrt(T),1e-06,1e-06,125.07000000002708,209.4618148106473,219.29119141720858,9.829376606561283
1500,0,gau,1/sqrt(T),1e-06,1e-06,133.7800000000233,212.99660366552317,237.1583339147438,24.161730249220625
1500,1,gau,1/sqrt(T),1e-06,1e-06,133.70000000002338,229.28174220187236,248.7491337994981,19.46739159762575
1500,2,gau,1/sqrt(T),1e-06,1e-06,132.21000000002473,231.43742714970276,260.04737182816643,28.609944678463677
1500,3,gau,1/sqrt(T),1e-06,1e-06,139.0500000000185,236.21654774880332,261.400379447184,25.183831698380658
1500,4,gau,1/sqrt(T),1e-06,1e-06,135.7600000000215,230.28481962536395,261.8256475681155,31.540827942751577
1500,5,gau,1/sqrt(T),1e-06,1e-06,149.77000000000876,234.67965685054168,251.80638661741563,17.12672976687395
1500,6,gau,1/sqrt(T),1e-06,1e-06,134.84000000002234,217.92592549947764,244.06233719586345,26.136411696385807
1500,7,gau,1/sqrt(T),1e-06,1e-06,149.22000000000926,214.72320137569443,245.4802097241909,30.75700834849647
1500,8,gau,1/sqrt(T),1e-06,1e-06,135.3200000000219,233.0601445843608,256.27373550488494,23.213590920524126
1500,9,gau,1/sqrt(T),1e-06,1e-06,131.86000000002505,242.77764643990724,255.98031277431545,13.202666334408207
1600,0,gau,1/sqrt(T),1e-06,1e-06,142.55000000001533,245.13333870867518,265.65726455214576,20.52392584347058
1600,1,gau,1/sqrt(T),1e-06,1e-06,141.12000000001663,233.37234034838318,256.58192127281524,23.20958092443206
1600,2,gau,1/sqrt(T),1e-06,1e-06,138.70000000001883,246.24628510416292,269.58077434221514,23.334489238052214
1600,3,gau,1/sqrt(T),1e-06,1e-06,136.90000000002047,242.5968900794976,264.5605854410814,21.963695361583802
1600,4,gau,1/sqrt(T),1e-06,1e-06,139.630000000018,262.48753057389695,289.48536668239126,26.99783610849431
1600,5,gau,1/sqrt(T),1e-06,1e-06,139.88000000001776,244.0502479680873,268.51672395392507,24.466475985837775
1600,6,gau,1/sqrt(T),1e-06,1e-06,138.1900000000193,238.77032303729126,261.2986954780863,22.52837244079504
1600,7,gau,1/sqrt(T),1e-06,1e-06,139.55000000001806,228.23355730268244,264.6135424869173,36.37998518423487
1600,8,gau,1/sqrt(T),1e-06,1e-06,142.4700000000154,224.55163947321088,248.86438897448286,24.31274950127198
1600,9,gau,1/sqrt(T),1e-06,1e-06,141.74000000001607,243.77929561009395,265.4196648007327,21.640369190638722
1700,0,gau,1/sqrt(T),1e-06,1e-06,143.26000000001468,240.76236590231747,268.7951727815958,28.032806879278326
1700,1,gau,1/sqrt(T),1e-06,1e-06,160.53999999999897,259.497267632459,294.082130999203,34.584863366744
1700,2,gau,1/sqrt(T),1e-06,1e-06,142.40000000001547,250.55455905972025,275.9873538565646,25.432794796844348
1700,3,gau,1/sqrt(T),1e-06,1e-06,149.91000000000864,268.84086450998706,280.42066506738297,11.579800557395913
1700,4,gau,1/sqrt(T),1e-06,1e-06,150.04000000000852,239.87260403160917,266.4996472944602,26.627043262851032
1700,5,gau,1/sqrt(T),1e-06,1e-06,143.6900000000143,256.61922113081727,289.43639914747405,32.81717801665678
1700,6,gau,1/sqrt(T),1e-06,1e-06,146.78000000001148,252.65292958905485,278.48219607279714,25.829266483742288
1700,7,gau,1/sqrt(T),1e-06,1e-06,143.70000000001428,257.43464059388435,287.7072599803273,30.272619386442955
1700,8,gau,1/sqrt(T),1e-06,1e-06,147.23000000001107,259.82838051812314,285.80720539680317,25.97882487868003
1700,9,gau,1/sqrt(T),1e-06,1e-06,147.9800000000104,276.31237386759466,295.53503532613274,19.222661458538084
1800,0,gau,1/sqrt(T),1e-06,1e-06,149.12000000000936,273.5403168712861,294.54559861328096,21.00528174199485
1800,1,gau,1/sqrt(T),1e-06,1e-06,147.95000000001042,280.5838647044447,298.5497362709734,17.965871566528733
1800,2,gau,1/sqrt(T),1e-06,1e-06,148.04000000001034,270.2744245951119,301.9283387904462,31.653914195334323
1800,3,gau,1/sqrt(T),1e-06,1e-06,148.5300000000099,243.82871672889584,266.0275420873378,22.19882535844195
1800,4,gau,1/sqrt(T),1e-06,1e-06,152.5900000000062,296.8786770642356,324.09750237158113,27.218825307345526
1800,5,gau,1/sqrt(T),1e-06,1e-06,155.5600000000035,275.9971554018923,302.30535226827993,26.30819686638762
1800,6,gau,1/sqrt(T),1e-06,1e-06,155.87000000000322,284.7671567645855,320.46090829859224,35.693751534006765
1800,7,gau,1/sqrt(T),1e-06,1e-06,148.55000000000987,305.17179720688995,321.8238489495989,16.652051742708977
